"Change description","Cabinet","Sub System","Component","Cluster","Initiative ID","Old PN","New PN","LP1 upgrade status","LP2 upgrade status","LP3 upgrade status","LP4 upgrade status","Photo","Related DDT","SW Config","Status","Comments","PECO"
"BID automatic detection (BIDHV Rev B)","PE","BID",,"CL6","IPRG-5413",,,"Installed","Installed","Installed","Installed",,,"No","Done","Replace BID HV with Rev B","No"
"CRU rev B","PE","Charge Roller","CRU","CL6","IPRG-5826",,"CA654-01023","Not available","Installed","Not Available","Installed",,,"No","On going",,"No"
"CBA2v3","PE","PE Boards",,"CL7","IPRG-5381",,,"Not available","Not Available","Not Available","Not Available",,,"Yes","Not started",,"No"
"LPH cooling- avoid hose banding","PE","LPH Cooling",,"CL7","IPRG-4370",,,"Not available","Not Available","Not Available","Not Available",,,"No","Not started",,"No"
"operator console for LP","UIC","UIC Frame","operator console","CL6","IPRG-1095",,,"Not available","Not Available","Not Available","Installed",,,"No","On going",,"No"
"ILP tinter chrome rollers","PWS","ILP Priming",,"CL7","IPRG-5779",,,"Not available","Not Available","Not Available","Not Available",,,"No","Not started",,"No"
"Gorilla Glass plastic injection","PE","LPH","gorilla glass","CL7","IPRG-4405",,,"Not available","Not Available","Not Available","Not Available",,,"No","Not started",,"No"
"Stir SSR heating","PE","Stir","SSR","CL7","IPRG-491",,,"Not available","Not Available","Not Available","Not Available",,,"No","Not started",,"No"
"EJFNS new board","PE","PE Boards","EJFNS","CL7","IPRG-4023",,,"Not available","Not Available","Not Available","Not Available",,,"Yes","Not started",,"Yes"
"EJPWS new board","PWS","PWS board","EJPWS","CL6","IPRG-1238",,,"Installed","Installed","Not Available","Installed",,,"Yes","Not started",,"Yes"
"BID interface- PP press configuration","PE","BID Interface",,"CL6","IPRG-3810",,,"Temporary","Partial","Temporary","Not Available",,,"No","On going","Installed on LP1 st1 BID a/b/c","No"
"Nip rollers CR","PWS","WHS",,"CL7","IPRG-3387",,,"Not available","Installed","Not Available","Not Available",,,"No","On going",,"No"
"ILS HSL","PWS","ILS",,"CL6","IPRG-5836",,,"Not Relevant","Installed","Not Relevant","Installed",,,"No","Done",,"No"
"Replace FP Motor","PWS","WHS",,"CL6","IPRG-5518",,"3140-1658","Installed","Installed","Not Installed","Installed",,,"Yes","On going",,"No"
"BIDHV connector plastic injection","PE","BID Interface",,"CL6","IPRG-942",,,"Not Relevant","Not Relevant","Not Relevant","Not Relevant",,,"No","Done",,"Yes"
"ILS encoder single output CR","PWS","ILS",,"CL7","IPRG-5904",,"0960-2991","Installed","Installed","Not Available","Installed",,,"No","Not started",,"No"
"CVC ECO pressure sensor","PE","PE CVC",,"CL6","IPRG-5856",,"0960-5989","Installed","Installed","Not Installed","Installed",,,"Yes","On going",,"Yes"
"BIDHV4 new rev (add resistors)","PE","PE Boards",,"CL6","IPRG-6264",,,"Not Installed","Installed","Not Installed","Installed",,,"No","On going","upgrade in house (add 2 resistors)","NA"
"CVC temp sensor molded connector","PE","PE CVC",,"CL6","IPRG-6308",,,"Not available","Installed","Not Available","Not Available",,,"No","On going",,"No"
"CVC phase 2 PP configuration","PE","CVC",,"CL6","IPRG-1089",,,"Not available","Installed","Not Available","Partial",,,"No","On going",,"No"
"EJPE Ver2","PE","PE Boards",,"CL6","IPRG-6217",,"CA003-48520 x 2","Installed","Installed","Not Installed","Installed",,,"Yes","On going","LP1 and LP4- EJPEV2. LP2 and LP3- manual rework","Yes"
"Dancer coupling break solution","RW","RW",,"CL6","IPRG-5556",,"0515-7969 (x2) 1520-0807 (x2) CA002-99330 (x1) CA003-11330 (x2)","Not available","Installed","Not Available","Not Available",,,"No","On going",,"No"
"Corona EOL","PWS","ILP Corona",,"CL7","IPRG-5634",,,"Installed","Not Installed","Not Relevant","Not Relevant",,,"No","On going",,"Yes"
